2,Andrea Cruz,12,12.00
3,Rachel Meyer,73,73.00
4,Michelle Simpson,7,5.64
6,Phyllis Chapman,9,6.37
10,Deborah Black,2,2.00
11,Irene Adams,17,4.28
16,Donna Webb,8,4.69
17,Lisa Little,6,6.00
18,Nicole Nelson,2,0.58
19,Laura Harrison,7,7.00
20,Denise Woods,9,9.00
26,Marilyn Ross,3,1.25
28,Helen Thompson,16,5.25
29,Shirley Thompson,5,5.00
32,Doris Castillo,84,84.00
33,Heather Cox,11,11.00
34,Heather Sanchez,8,8.00
37,Andrea Morgan,10,10.00
41,Helen Hunter,5,5.00
44,Kathy Tucker,5,5.00
45,Barbara Hayes,2,2.00
47,Anna Jacobs,7,7.00
48,Joyce Olson,10,0.13
69,Marilyn Robertson,50,50.00
72,Patricia Austin,2,2.00
75,Ruby Robinson,4,4.00
76,Nancy Hunt,7,7.00
77,Debra Graham,5,0.72
87,Catherine Nguyen,7,7.00
89,Sara Rose,8,8.00
91,Rose Morris,9,9.00
93,Rebecca Cooper,10,10.00
95,Donna Jordan,19,19.00
101,Kathy Dunn,11,11.00
106,Bonnie Smith,7,7.00
109,Paula Perry,10,10.00
112,Emily Butler,10,9.72
113,Maria Reyes,2,2.00
124,Melissa Gray,3,3.00
125,Dorothy Perez,16,16.00
126,Kimberly Barnes,2,0.73
128,Shirley Rogers,2,2.00
130,Joan Mills,11,11.00
131,Julie Hughes,66,66.00
144,Marilyn Cook,10,10.00
146,Patricia Stone,9,1.60
148,Margaret Stanley,2,2.00
149,Sara Dean,14,10.17
151,Tina Murphy,7,3.41
152,Julia Morgan,4,4.00
153,Debra Barnes,10,10.00
155,Irene Henderson,5,5.00
158,Rose Hayes,8,8.00
159,Maria Alvarez,7,0.11
162,Jean Ford,7,7.00
165,Robin Lane,3,3.00
170,Evelyn Gardner,10,2.49
171,Jacqueline Jackson,11,1.59
173,Marie Mendoza,8,8.00
174,Paula Kim,5,5.00
176,Michelle George,97,97.00
180,Laura Diaz,8,8.00
183,Janet Scott,2,2.00
184,Phyllis Rodriguez,4,4.00
185,Paula Stewart,7,7.00
188,Linda Williams,61,61.00
194,Anna Stewart,1,0.48
197,Doris Henderson,2,2.00
203,Nancy Ramos,11,11.00
205,Stephanie Bowman,5,5.00
210,Lori Bennett,7,7.00
212,Sharon Crawford,46,46.00
216,Anne Lawson,23,23.00
219,Emily Payne,3,3.00
220,Marie Stone,110,110.00
223,Alice Payne,24,1.89
227,Marie Peterson,6,3.44
239,Irene Fuller,8,1.92
240,Jean Phillips,33,33.00
246,Maria Lynch,96,96.00
247,Cynthia James,2,0.13
249,Susan Pierce,1,1.00
253,Brenda Wright,122,122.00
259,Joyce Gutierrez,5,5.00
260,Diana Ross,4,4.00
272,Kathryn Ellis,4,4.00
273,Beverly Kennedy,102,102.00
278,Margaret Lawson,17,17.00
281,Theresa Evans,2,2.00
283,Melissa Williamson,3,3.00
284,Christine Mitchell,55,50.26
286,Martha Gonzalez,10,8.74
288,Helen Mcdonald,8,8.00
290,Michelle Hamilton,5,5.00
291,Kimberly Johnson,54,54.00
294,Norma Hill,2,2.00
297,Jennifer Henry,5,5.00
300,Rebecca Adams,10,0.37
306,Dorothy Wilson,5,1.14
307,Gloria Anderson,7,4.26
311,Ann Edwards,7,7.00
312,Ruth Green,3,3.00
319,Barbara Evans,2,2.00
326,Emily White,3,3.00
